index,price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
334,3500,8.0,1250.0,1.0,1.0,2,3,0,3
2453,4495,9.0,1494.0,2.0,2.5,2,3,0,3
518,5650,6.0,936.0,4.0,2.0,0,0,0,0
2711,4595,8.0,1200.0,3.0,1.0,1,0,0,0
593,2800,7.0,800.0,1.0,1.0,1,1,0,0
2899,3600,2.0,1280.0,3.0,2.0,1,0,0,0
1540,3099,9.0,921.0,2.0,2.0,2,3,0,3
2165,3395,5.0,850.0,2.0,1.0,1,0,0,0
112,2695,1.0,780.0,1.0,1.0,1,1,0,0
115,5795,9.0,1620.0,4.0,3.0,2,3,0,3
113,2966,9.0,800.0,2.0,1.0,2,0,0,0
196,1218,9.0,200.0,0.0,1.0,1,0,0,0
1670,5200,7.0,1000.0,3.0,1.0,2,0,2,1
2004,3495,9.0,800.0,2.0,1.0,1,3,0,3
2823,3500,8.0,850.0,2.0,1.0,2,0,0,0
934,3475,9.0,925.0,1.0,1.0,1,3,0,3
1186,4395,6.0,1035.0,2.0,2.0,2,3,0,0
897,3850,9.0,1050.0,2.0,1.5,2,0,0,3
2717,4595,5.0,1500.0,3.0,1.0,2,0,0,3
1450,4750,9.0,1414.0,3.0,2.0,1,0,0,3
1933,19000,9.0,2358.0,3.0,3.5,2,0,0,3
1801,3650,1.0,750.0,3.0,2.0,1,0,0,0
38,2875,2.0,633.0,1.0,1.0,1,3,0,2
804,2427,10.0,1133.0,1.0,1.0,2,3,0,0
1292,2695,8.0,1000.0,2.0,2.0,0,0,0,0
229,2695,5.0,1000.0,2.0,2.0,0,0,0,0
89,3412,8.0,916.0,2.0,2.0,2,3,0,0
2307,2850,8.0,750.0,2.0,1.0,1,0,0,0
1828,3099,6.0,875.0,2.0,2.0,1,0,0,3
1972,4050,9.0,1200.0,3.0,1.5,2,1,0,0
777,2200,7.0,500.0,1.0,1.0,1,3,0,0
1586,2595,1.0,650.0,1.0,1.0,1,1,0,3
1197,3295,8.0,933.0,2.0,1.0,1,3,0,3
2002,3295,8.0,833.0,2.0,1.0,1,3,0,3
2523,3300,8.0,950.0,3.0,1.5,1,0,0,0
1465,3500,9.0,909.0,1.0,1.0,2,0,0,0
1457,3459,9.0,882.0,1.0,1.0,2,0,0,3
2395,4950,6.0,1300.0,3.0,1.0,2,3,0,0
871,2669,8.0,789.0,1.0,1.0,2,3,0,3
1098,2995,7.0,650.0,1.0,1.0,1,0,0,3
57,3525,6.0,805.0,1.0,1.0,2,3,0,3
921,4210,8.0,1374.0,2.0,2.0,2,3,0,3
288,2395,6.0,650.0,1.0,1.0,1,1,0,0
197,2200,8.0,550.0,1.0,1.0,1,0,0,0
576,2595,9.0,690.0,1.0,1.0,2,0,0,3
2211,4400,8.0,1200.0,3.0,1.0,1,1,0,0
2872,1900,1.0,650.0,1.0,1.0,1,0,0,0
2381,3400,6.0,680.0,1.0,1.0,1,3,0,3
2066,2450,8.0,450.0,1.0,1.0,1,3,0,0
1434,2195,1.0,750.0,1.0,1.0,0,0,0,0
767,1800,3.0,450.0,1.0,1.0,0,0,0,1
1977,2990,5.0,587.0,1.0,1.0,2,3,0,3
2813,3980,5.0,800.0,1.0,1.0,1,0,0,1
1379,2950,6.0,1000.0,2.0,1.0,1,0,0,0
274,3799,8.0,1187.0,2.0,2.0,2,3,0,0
3079,4000,10.0,775.0,3.0,1.0,1,0,3,0
494,5290,9.0,1420.0,3.0,2.0,2,3,0,3
2221,4800,9.0,1400.0,3.0,2.0,2,1,0,0
3066,3600,1.0,1000.0,3.0,1.5,1,0,0,0
1018,4295,9.0,830.0,1.0,1.0,2,0,0,0
1686,3000,8.0,675.0,1.0,1.0,1,1,0,1
140,4999,6.0,1400.0,3.0,2.0,0,0,0,0
702,3700,9.0,1300.0,1.0,2.0,2,0,0,3
2192,2800,9.0,970.0,1.0,1.0,2,0,0,3
2528,3100,7.0,500.0,1.0,1.0,1,0,0,0
2791,1600,8.0,400.0,0.0,1.0,1,0,0,0
2790,1600,8.0,400.0,0.0,1.0,1,0,0,0
2469,5500,7.0,1500.0,3.0,2.0,2,0,0,3
560,5500,7.0,1500.0,2.0,2.0,2,0,0,3
700,2246,2.0,476.0,0.0,1.0,2,3,0,2
554,2053,6.0,5100.0,0.0,1.0,2,3,0,3
3024,3150,9.0,800.0,2.0,1.0,1,0,3,0
3052,4900,9.0,1600.0,2.0,2.0,2,3,0,3
664,900,9.0,170.0,1.0,1.0,0,0,0,3
