date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,Work from Home! Top Floor 2BR! 2nd Room Great for Office,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-work-from-home-top-floor/7206535669.html,3490,2,750.0,downtown / civic / van ness,1Ba,"['application fee details: $40 per person', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,"Lovely Remodeled 4br/2bath, TOP FL, WD in Unit! California Street!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lovely-remodeled-4br/7206529240.html,4500,4,1140.0,pacific heights,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking']"
Oct  1,HUGE PRIVATE PATIO XL One bedroom condo,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-private-patio-xl-one/7202649999.html,3975,1,925.0,Embarcadero / North Waterfront,1Ba,"['dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage']"
Oct  1,"5 bedrooms , Large Livingroom  and Kitchen",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-5-bedrooms-large/7206534066.html,5555,5,1600.0,alamo square / nopa,1.5Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no laundry on site', 'no parking']"
Oct  1,"Massive 1,100 sq foot  Pacific Heights 1 bedroom, 1 bath, office",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-massive-1100-sq-foot/7203871618.html,4000,1,,pacific heights,1Ba,"['application fee details: $30 for credit + background check', 'condo', 'laundry in bldg', 'listed by: Compass 02005756', 'no smoking', 'street parking']"
Oct  1,2-bedroom 1-bathroom lower flat. Great location. ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-1-bathroom/7206534479.html,3550,2,,marina / cow hollow,1Ba,"['flat', 'no laundry on site', 'street parking']"
Oct  1,"Bright & spacious 3 bedroom, 2 bath flat w/ garage steps from beach",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-spacious-3-bedroom/7201740689.html,4495,3,1600.0,richmond / seacliff,2Ba,"['application fee details: $30 for credit + background check', 'condo', 'w/d in unit', 'attached garage']"
Oct  1,"Awesome private unit, steps to GG Park and everything on Irving",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-awesome-private-unit/7199195164.html,2495,1,,inner sunset / UCSF,1Ba,"['application fee details: $30 for credit + background check', 'apartment', 'no laundry on site', 'listed by: Compass 02005756', 'no smoking', 'street parking']"
Oct  1,"Top floor, shared yard, massive space - bright & updated",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-shared-yard/7189202423.html,4950,4,,alamo square / nopa,1.5Ba,"['application fee details: $30 for credit + background check', 'cats are OK - purrr', 'dogs are OK - wooof', 'flat', 'w/d hookups', 'listed by: Compass 02005756', 'no smoking', 'street parking']"
Oct  1,"Ultra modern studio at The Austin, amazing roof deck, w/d",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ultra-modern-studio-at/7190262763.html,2295,,,nob hill,1Ba,"['application fee details: $30 for credit + background check', 'cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'listed by: Compass 02005756', 'no parking']"
