price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
4595,5.0,1500.0,3.0,1.0,2,0,0,3
4750,9.0,1414.0,3.0,2.0,1,0,0,3
19000,9.0,2358.0,3.0,3.5,2,0,0,3
3650,1.0,750.0,3.0,2.0,1,0,0,0
2875,2.0,633.0,1.0,1.0,1,3,0,2
2427,10.0,1133.0,1.0,1.0,2,3,0,0
2695,8.0,1000.0,2.0,2.0,0,0,0,0
2695,5.0,1000.0,2.0,2.0,0,0,0,0
3412,8.0,916.0,2.0,2.0,2,3,0,0
2850,8.0,750.0,2.0,1.0,1,0,0,0
3099,6.0,875.0,2.0,2.0,1,0,0,3
4050,9.0,1200.0,3.0,1.5,2,1,0,0
2200,7.0,500.0,1.0,1.0,1,3,0,0
2595,1.0,650.0,1.0,1.0,1,1,0,3
3295,8.0,933.0,2.0,1.0,1,3,0,3
3295,8.0,833.0,2.0,1.0,1,3,0,3
3300,8.0,950.0,3.0,1.5,1,0,0,0
3500,9.0,909.0,1.0,1.0,2,0,0,0
3459,9.0,882.0,1.0,1.0,2,0,0,3
4950,6.0,1300.0,3.0,1.0,2,3,0,0
2669,8.0,789.0,1.0,1.0,2,3,0,3
2995,7.0,650.0,1.0,1.0,1,0,0,3
3525,6.0,805.0,1.0,1.0,2,3,0,3
4210,8.0,1374.0,2.0,2.0,2,3,0,3
2395,6.0,650.0,1.0,1.0,1,1,0,0
2200,8.0,550.0,1.0,1.0,1,0,0,0
2595,9.0,690.0,1.0,1.0,2,0,0,3
4400,8.0,1200.0,3.0,1.0,1,1,0,0
1900,1.0,650.0,1.0,1.0,1,0,0,0
3400,6.0,680.0,1.0,1.0,1,3,0,3
2450,8.0,450.0,1.0,1.0,1,3,0,0
2195,1.0,750.0,1.0,1.0,0,0,0,0
1800,3.0,450.0,1.0,1.0,0,0,0,1
2990,5.0,587.0,1.0,1.0,2,3,0,3
3980,5.0,800.0,1.0,1.0,1,0,0,1
2950,6.0,1000.0,2.0,1.0,1,0,0,0
3799,8.0,1187.0,2.0,2.0,2,3,0,0
4000,10.0,775.0,3.0,1.0,1,0,3,0
5290,9.0,1420.0,3.0,2.0,2,3,0,3
4800,9.0,1400.0,3.0,2.0,2,1,0,0
3600,1.0,1000.0,3.0,1.5,1,0,0,0
4295,9.0,830.0,1.0,1.0,2,0,0,0
3000,8.0,675.0,1.0,1.0,1,1,0,1
4999,6.0,1400.0,3.0,2.0,0,0,0,0
3700,9.0,1300.0,1.0,2.0,2,0,0,3
2800,9.0,970.0,1.0,1.0,2,0,0,3
3100,7.0,500.0,1.0,1.0,1,0,0,0
1600,8.0,400.0,0.0,1.0,1,0,0,0
1600,8.0,400.0,0.0,1.0,1,0,0,0
5500,7.0,1500.0,3.0,2.0,2,0,0,3
5500,7.0,1500.0,2.0,2.0,2,0,0,3
2246,2.0,476.0,0.0,1.0,2,3,0,2
2053,6.0,5100.0,0.0,1.0,2,3,0,3
3150,9.0,800.0,2.0,1.0,1,0,3,0
4900,9.0,1600.0,2.0,2.0,2,3,0,3
900,9.0,170.0,1.0,1.0,0,0,0,3
3995,5.0,1800.0,4.0,2.0,1,3,0,0
3995,9.0,1800.0,4.0,2.0,1,3,0,0
3995,7.0,850.0,1.0,1.0,1,0,0,0
4500,7.0,1700.0,2.0,2.0,2,3,0,0
2800,5.0,780.0,1.0,1.0,1,0,0,3
2800,5.0,790.0,1.0,1.0,1,0,0,0
5300,2.0,1600.0,4.0,2.0,1,0,3,0
3575,8.0,1000.0,2.0,1.0,1,0,0,0
3575,8.0,1000.0,2.0,1.0,1,0,0,0
2195,9.0,450.0,0.0,1.0,0,0,0,0
7746,5.0,2450.0,4.0,3.5,2,3,0,3
7746,5.0,2450.0,4.0,3.5,2,3,0,3
2295,8.0,573.0,0.0,1.0,1,2,0,0
5400,7.0,1600.0,3.0,2.0,2,0,0,0
2680,9.0,591.0,1.0,1.5,2,3,0,3
3466,5.0,551.0,1.0,1.0,2,3,0,0
2595,6.0,627.0,1.0,1.0,2,1,0,0
4200,2.0,1000.0,2.0,2.0,2,0,0,3
1995,6.0,357.0,0.0,1.0,2,1,0,0
3250,6.0,655.0,1.0,1.0,2,3,0,0
2075,6.0,346.0,0.0,1.0,2,1,0,0
2075,6.0,346.0,0.0,1.0,2,1,0,0
2986,9.0,503.0,1.0,1.0,2,3,0,3
3190,8.0,840.0,2.0,1.0,1,1,0,0
4950,1.0,2000.0,4.0,2.5,2,0,0,3
4495,1.0,1600.0,3.0,2.0,2,0,0,3
2998,9.0,585.0,1.0,1.0,2,3,0,3
2900,7.0,700.0,1.0,1.0,1,0,0,0
1995,6.0,415.0,1.0,1.0,0,1,0,3
